Element	Kernladungszahl Z	E [eV]	sigma_E [eV]	sqrt(E) [eV^1/2]	dsqrt(E) [eV^1/2]	E [eV]	sigma_E [eV]	sqrt(E) [eV^1/2]	dsqrt(E) [eV^1/2]
		alpha	alpha	alpha		beta	beta	beta	

Ti	22	4.420	0.17	2.10	0.04	0	0	0	0
Fe	26	6.400	0.17	2.53	0.03	7.03	0.13	2.65	0.02
Ni	28	7.480	0.16	2.73	0.03	8.28	0.18	2.88	0.03
Cu	29	8.060	0.16	2.83	0.03	8.93	0.16	2.99	0.03
Zn	30	8.660	0.16	2.90	0.03	9.61	0.16	3.10	0.03
Zr	40	15.810	0.17	3.98	0.02	17.71	0.18	4.21	0.02
Mo	42	17.480	0.16	4.18	0.02	19.57	0.17	4.42	0.02
Ag	47	21.960	0.19	4.69	0.02	24.64	0.16	4.96	0.02
